x,y,z
-1.355747653710221,7.429886384766347,-4.717011674911687
-1.4414106537102036,7.520890384766343,-5.363281674911692
-1.79715365371022,8.391556384766343,-5.254669674911681
-1.7527206537102238,8.303772384766344,-4.593582674911687
-1.3604016537102377,7.627831384766349,-5.976776674911692
-1.7200966537102254,8.514679384766342,-5.875290674911696
-2.361698653710232,9.260552384766346,-5.808411674911696
-2.4613236537102328,9.091088384766348,-5.181839674911698
-2.4346966537102173,9.022904384766317,-4.498718674911687
-1.1571696537102234,7.849610384766347,-7.478607674911686
-1.1519056537102124,7.8949053847663295,-8.462341674911684
-1.3975876537102288,8.659172384766347,-8.531769674911686
-1.4817086537102109,8.745865384766315,-7.445374674911692
-1.2452436537102294,7.8432093847663396,-9.405976674911699
-1.4431196537102369,8.445908384766337,-9.57301367491169
-1.760731653710204,8.963593384766337,-9.91029467491168
-1.8485916537102118,9.265686384766347,-8.676499674911696
-2.0455216537102228,9.524224384766338,-7.409638674911692
-1.6402016537102322,7.410904384766347,-10.643875674911698
-1.674946653710217,7.2060023847663475,-11.1459356749117
-1.9756056537102151,7.557640384766329,-11.406403674911699
-1.9670456537102257,7.828888384766338,-10.861450674911694
-1.6111496537102248,7.050652384766347,-11.652298674911695
-1.8670086537102115,7.35379838476635,-11.883591674911685
-2.1520736537102145,7.58267238476634,-12.130325674911687
-2.3153276537102383,7.817009384766319,-11.643234674911698
-2.3993726537102145,8.193200384766325,-11.054474674911688
-3.379276653710217,9.62401638476632,-5.146362674911698
-3.323719653710226,9.575028384766338,-4.450287674911691
-3.325275653710216,9.724846384766348,-5.623947674911691
-4.266849653710223,10.118721384766328,-5.773194674911692
-4.3523606537102175,9.947091384766342,-5.11930967491169
-4.275379653710228,9.898720384766332,-4.419663674911688
-1.2461436537102308,7.74903138476634,-6.665985674911696
-1.1949356537102285,6.619858384766352,-6.823502674911696
-1.086582653710206,6.7057423847663244,-7.629807674911689
-1.3443796537102486,6.552277384766338,-6.124695674911692
-1.5598496537102269,5.607888384766337,-6.270432674911689
-1.3741196537102205,5.618767384766329,-6.9896396749116985
-1.2327006537102392,5.673218384766352,-7.810608674911691
-2.5108686537102294,9.84948838476634,-8.794113674911697
-2.8496136537102164,10.024483384766338,-7.7162176749116895
-2.2580916537102222,9.648316384766328,-9.861481674911687
-2.8698166537102257,9.976502384766317,-10.018372674911687
-3.309818653710221,10.19309338476634,-8.916565674911697
-3.838077653710238,10.37229238476635,-7.560471674911696
-1.4524886537102295,7.652581384766332,-10.098541674911687
-1.336872653710213,6.89258638476633,-10.0595866749117
-1.4467966537102193,6.7902003847663615,-10.51104867491169
-1.2040756537102304,6.929489384766325,-9.446808674911694
-1.3173256537102276,6.04120738476632,-9.582718674911687
-1.3841136537102263,6.137818384766318,-10.118881674911693
-1.4291886537102236,6.165688384766322,-10.470108674911684
-2.630314653710212,8.061333384766325,-11.815186674911685
-2.743290653710216,8.364449384766342,-11.297562674911687
-2.43983865371022,7.81798638476635,-12.314789674911694
-2.730808653710209,7.988556384766348,-12.44853267491169
-2.939152653710221,8.232361384766357,-11.932968674911695
-3.0455216537102228,8.50341138476636,-11.403549674911687
-1.4534806537101943,6.4166493847663375,-12.780899674911694
-1.4127546537102198,6.530480384766348,-12.474213674911695
-1.3695116537102017,6.299820384766349,-12.187119674911685
-1.4137006537102152,6.198944384766321,-12.460327674911694
-1.458805653710197,6.631272384766357,-12.117706674911688
-1.3962296537102468,6.37030138476635,-11.859543674911695
-1.4124186537102157,6.033570384766335,-11.622101674911688
-1.4028666537102303,6.003090384766325,-11.916611674911694
-1.4414106537102036,5.997078384766326,-12.180069674911694
-1.4647256537102291,6.933335384766334,-13.190689674911695
-1.744755653710213,6.7408453847663425,-13.448471674911687
-1.862232653710219,6.844635384766349,-13.5077526749117
-1.6129496537102277,7.031983384766357,-13.299881674911687
-2.148044653710212,6.477303384766338,-13.58348167491168
-2.22804665371022,6.603974384766327,-13.609085674911695
-2.3221016537102166,6.764229384766338,-13.683182674911695
-1.9859206537102327,6.94770838476634,-13.595322674911685
-1.7895396537102304,7.1769183847663385,-13.495560674911687
-4.707203653710233,10.300766384766352,-7.666001674911696
-4.984119653710233,10.278862384766338,-6.578583674911684
-4.315128653710229,10.326691384766317,-6.596970674911686
